poluente,limite,unidade,fonte
MP,50,mg/Nm3,PLANO_GESTAO_EMISSOES_FINAL_REVISADO.html
SOx,250,mg/Nm3,PLANO_GESTAO_EMISSOES_FINAL_REVISADO.html
NOx,400,mg/Nm3,PLANO_GESTAO_EMISSOES_FINAL_REVISADO.html
HCTNM,,mg/Nm3,pendente_base_normativa
